epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.43869,1.52253,4.16486,1.06882,0.0031,0.125,0.03217,0.00897,1.32893,4.04024,0.92323,0,0,0
2,1.84912,1.90749,4.40213,1.31906,0.00443,0.20833,0.04925,0.01365,1.32325,4.03441,0.91933,6.99863e-06,6.99863e-06,6.99863e-06
3,2.12909,1.83696,4.31508,1.23555,0.00431,0.20833,0.05715,0.02392,1.32882,4.03082,0.92088,1.37145e-05,1.37145e-05,1.37145e-05
4,2.4007,1.61366,4.36137,1.10946,0.00405,0.20833,0.05714,0.02807,1.33053,4.03158,0.92042,2.01477e-05,2.01477e-05,2.01477e-05
5,2.66881,1.74028,4.2312,1.19323,0.0041,0.16667,0.09821,0.07016,1.3344,4.01662,0.91693,2.6298e-05,2.6298e-05,2.6298e-05
6,2.9263,1.80556,4.5513,1.22136,0.00277,0.125,0.09699,0.07759,1.3369,4.01499,0.91599,3.21657e-05,3.21657e-05,3.21657e-05
7,3.19979,1.9035,4.36466,1.30873,0.00264,0.125,0.04188,0.03351,1.34211,4.006,0.9158,3.77506e-05,3.77506e-05,3.77506e-05
8,3.54974,1.7216,4.36317,1.11069,0.0148,0.41667,0.06309,0.04141,1.30855,4.00142,0.91063,4.30528e-05,4.30528e-05,4.30528e-05
9,3.90745,1.84626,4.37548,1.18133,0.01267,0.33333,0.08085,0.05268,1.23632,3.99408,0.89512,4.80722e-05,4.80722e-05,4.80722e-05
10,4.27348,1.5336,4.24921,1.03072,0.01257,0.41667,0.11317,0.08308,1.23637,3.99234,0.89648,5.28089e-05,5.28089e-05,5.28089e-05
11,4.65743,1.6319,4.32364,1.06489,0.01124,0.33333,0.08754,0.05324,1.20114,3.98001,0.88811,5.72628e-05,5.72628e-05,5.72628e-05
12,5.04951,1.50077,4.10145,1.06395,0.01083,0.33333,0.12257,0.08954,1.17129,3.98123,0.88532,6.1434e-05,6.1434e-05,6.1434e-05
13,5.42349,1.6005,3.97659,1.09394,0.01223,0.375,0.12811,0.09006,1.15342,3.99159,0.88176,6.53224e-05,6.53224e-05,6.53224e-05
14,5.79674,1.46709,4.05631,1.04833,0.01278,0.375,0.13847,0.09493,1.14378,3.99141,0.87896,6.89281e-05,6.89281e-05,6.89281e-05
15,6.15664,1.39944,4.00007,1.02562,0.01336,0.375,0.13328,0.10109,1.16752,3.99136,0.88431,7.22511e-05,7.22511e-05,7.22511e-05
16,6.51117,1.35694,3.73158,1.0042,0.01314,0.375,0.13825,0.10269,1.20129,4.0045,0.88776,7.52913e-05,7.52913e-05,7.52913e-05
17,6.87243,1.39912,3.76362,1.01469,0.0162,0.45833,0.14534,0.11038,1.23455,4.00926,0.88974,7.80488e-05,7.80488e-05,7.80488e-05
18,7.19976,1.4568,3.70711,1.02757,0.0162,0.45833,0.14534,0.11038,1.23455,4.00926,0.88974,8.05235e-05,8.05235e-05,8.05235e-05
19,7.55211,1.43494,3.6579,1.00578,0.01681,0.45833,0.14664,0.11105,1.24798,3.99661,0.89351,8.27155e-05,8.27155e-05,8.27155e-05
20,7.88544,1.4149,3.56704,1.02564,0.01681,0.45833,0.14664,0.11105,1.24798,3.99661,0.89351,8.46247e-05,8.46247e-05,8.46247e-05
21,8.21949,1.35114,3.56667,0.9467,0.01749,0.45833,0.15742,0.11974,1.26023,3.99658,0.89946,8.62512e-05,8.62512e-05,8.62512e-05
22,8.53206,1.40127,3.49771,0.98574,0.01749,0.45833,0.15742,0.11974,1.26023,3.99658,0.89946,8.75949e-05,8.75949e-05,8.75949e-05
23,8.86503,1.44455,3.50591,0.99485,0.01941,0.54167,0.16603,0.12373,1.25387,3.98193,0.91046,8.8656e-05,8.8656e-05,8.8656e-05
24,9.17234,1.38163,3.45102,1.04611,0.01941,0.54167,0.16603,0.12373,1.25387,3.98193,0.91046,8.94342e-05,8.94342e-05,8.94342e-05
25,9.50058,1.44426,3.31546,1.0265,0.01958,0.54167,0.17955,0.12786,1.24885,3.97009,0.90973,8.99297e-05,8.99297e-05,8.99297e-05
26,9.82721,1.40219,3.09707,1.00976,0.01958,0.54167,0.17955,0.12786,1.24885,3.97009,0.90973,9.01425e-05,9.01425e-05,9.01425e-05
27,10.1842,1.42974,3.22198,1.10354,0.01975,0.54167,0.20553,0.14292,1.23846,3.96384,0.91546,9.00725e-05,9.00725e-05,9.00725e-05
28,10.5061,1.309,3.09817,0.9766,0.01975,0.54167,0.20553,0.14292,1.23846,3.96384,0.91546,8.97198e-05,8.97198e-05,8.97198e-05
29,10.8871,1.30245,3.10822,1.00888,0.01979,0.54167,0.21198,0.14803,1.24017,3.95059,0.9233,8.90844e-05,8.90844e-05,8.90844e-05
30,11.1978,1.31534,2.98782,0.97751,0.01979,0.54167,0.21198,0.14803,1.24017,3.95059,0.9233,8.81661e-05,8.81661e-05,8.81661e-05
31,11.5686,1.3441,3.08265,1.00768,0.0255,0.79167,0.20307,0.12649,1.26512,3.95827,0.92995,8.69652e-05,8.69652e-05,8.69652e-05
32,11.8739,1.31305,3.06604,0.9414,0.0255,0.79167,0.20307,0.12649,1.26512,3.95827,0.92995,8.54815e-05,8.54815e-05,8.54815e-05
33,12.2046,1.37264,2.94897,1.00779,0.02656,0.79167,0.20488,0.12455,1.2889,3.93755,0.93193,8.37151e-05,8.37151e-05,8.37151e-05
34,12.5291,1.28203,2.87341,0.92633,0.02656,0.79167,0.20488,0.12455,1.2889,3.93755,0.93193,8.16659e-05,8.16659e-05,8.16659e-05
35,12.8572,1.36493,2.89845,0.98926,0.02734,0.79167,0.24603,0.15951,1.27606,3.89988,0.92465,7.9334e-05,7.9334e-05,7.9334e-05
36,13.1726,1.36956,2.75382,1.02346,0.02734,0.79167,0.24603,0.15951,1.27606,3.89988,0.92465,7.67193e-05,7.67193e-05,7.67193e-05
37,13.5619,1.3417,3.04645,0.99644,0.02932,0.83333,0.26137,0.16231,1.28577,3.87138,0.92154,7.38219e-05,7.38219e-05,7.38219e-05
38,13.8923,1.27121,2.78588,1.00277,0.02932,0.83333,0.26137,0.16231,1.28577,3.87138,0.92154,7.06417e-05,7.06417e-05,7.06417e-05
39,14.2272,1.36302,2.68007,1.04527,0.02954,0.83333,0.2533,0.16523,1.27425,3.84379,0.91869,6.71788e-05,6.71788e-05,6.71788e-05
40,14.5564,1.34451,2.73102,1.01814,0.02954,0.83333,0.2533,0.16523,1.27425,3.84379,0.91869,6.34332e-05,6.34332e-05,6.34332e-05
41,17.2424,1.21146,2.68919,1.01956,0.03011,0.83333,0.26822,0.17684,1.29954,3.82693,0.92205,5.94048e-05,5.94048e-05,5.94048e-05
42,17.7161,1.27191,2.63811,1.01044,0.03011,0.83333,0.26822,0.17684,1.29954,3.82693,0.92205,5.50937e-05,5.50937e-05,5.50937e-05
43,18.0965,1.28309,2.5562,1.01795,0.03064,0.83333,0.2709,0.17801,1.31038,3.80122,0.92941,5.04998e-05,5.04998e-05,5.04998e-05
